Operating Airline,Year,Total Passengers,Top Region
ABC Aerolineas S.A. de C.V. dba Interjet,2018,54694,Mexico
ABC Aerolineas S.A. de C.V. dba Interjet,2019,120633,Mexico
ABC Aerolineas S.A. de C.V. dba Interjet,2020,20052,Mexico
ATA Airlines,1999,290215,US
ATA Airlines,2000,596685,US
ATA Airlines,2001,646086,US
ATA Airlines,2002,631688,US
ATA Airlines,2003,873622,US
ATA Airlines,2004,944074,US
ATA Airlines,2005,545705,US
ATA Airlines,2006,105796,US
ATA Airlines,2007,1362,US
ATA Airlines,2008,66,US
"Aer Lingus, Ltd.",2007,14709,Europe
"Aer Lingus, Ltd.",2008,104897,Europe
"Aer Lingus, Ltd.",2009,65033,Europe
"Aer Lingus, Ltd.",2014,86838,Europe
"Aer Lingus, Ltd.",2015,134582,Europe
"Aer Lingus, Ltd.",2016,142382,Europe
"Aer Lingus, Ltd.",2017,153383,Europe
"Aer Lingus, Ltd.",2018,165741,Europe
"Aer Lingus, Ltd.",2019,179430,Europe
"Aer Lingus, Ltd.",2020,29871,Europe
"Aer Lingus, Ltd.",2021,5716,Europe
"Aer Lingus, Ltd.",2022,144818,Europe
"Aer Lingus, Ltd.",2023,152931,Europe
Aeroflot Russian International Airlines,1999,10728,Europe
Aeroflot Russian International Airlines,2000,21508,Europe
Aeroflot Russian International Airlines,2001,27126,Europe
Aeroflot Russian International Airlines,2002,27260,Europe
Aeroflot Russian International Airlines,2003,26552,Europe
Aeroflot Russian International Airlines,2004,4319,Europe
Aeromexico,2007,524,Mexico
Aeromexico,2009,60533,Mexico
Aeromexico,2010,77648,Mexico
Aeromexico,2011,80171,Mexico
Aeromexico,2012,74552,Mexico
Aeromexico,2013,118783,Mexico
Aeromexico,2014,243923,Mexico
Aeromexico,2015,263919,Mexico
Aeromexico,2016,277196,Mexico
Aeromexico,2017,326365,Mexico
Aeromexico,2018,301874,Mexico
Aeromexico,2019,339192,Mexico
Aeromexico,2020,94802,Mexico
Aeromexico,2021,201842,Mexico
Aeromexico,2022,322972,Mexico
Aeromexico,2023,259536,Mexico
Air 2000,2002,160,Europe
Air 2000,2003,132,Europe
Air Atlanta Icelandic,2004,892,Europe
Air Berlin,2010,24119,Europe
Air Berlin,2011,29205,Europe
Air Berlin,2012,30223,Europe
Air Berlin,2016,52484,Europe
Air Berlin,2017,99124,Europe
Air Canada,1999,258741,Canada
Air Canada,2000,486773,Canada
Air Canada,2001,563909,Canada
Air Canada,2002,547264,Canada
Air Canada,2003,482245,Canada
Air Canada,2004,525653,Canada
Air Canada,2005,561422,Canada
Air Canada,2006,603478,Canada
Air Canada,2007,625235,Canada
Air Canada,2008,559857,Canada
Air Canada,2009,545460,Canada
Air Canada,2010,561517,Canada
Air Canada,2011,579553,Canada
Air Canada,2012,561874,Canada
Air Canada,2013,613528,Canada
Air Canada,2014,731007,Canada
Air Canada,2015,827660,Canada
Air Canada,2016,892548,Canada
Air Canada,2017,928932,Canada
Air Canada,2018,993668,Canada
Air Canada,2019,922414,Canada
Air Canada,2020,160907,Canada
Air Canada,2021,200093,Canada
Air Canada,2022,801555,Canada
Air Canada,2023,847588,Canada
Air Canada Jazz,2005,1063,Canada
Air Canada Jazz,2006,3056,Canada
Air China,1999,48063,Asia
Air China,2000,104852,Asia
Air China,2001,107727,Asia
Air China,2002,119022,Asia
Air China,2003,81923,Asia
Air China,2004,124784,Asia
Air China,2005,104389,Asia
Air China,2006,117464,Asia
Air China,2007,156195,Asia
Air China,2008,147013,Asia
Air China,2009,122027,Asia
Air China,2010,157161,Asia
Air China,2011,169458,Asia
Air China,2012,171633,Asia
Air China,2013,189905,Asia
Air China,2014,184737,Asia
Air China,2015,196393,Asia
Air China,2016,249193,Asia
Air China,2017,235938,Asia
Air China,2018,223476,Asia
Air China,2019,257998,Asia
Air China,2020,22533,Asia
Air China,2023,4762,Asia
Air Europe,1999,1210,Europe
Air France,1999,94369,Europe
Air France,2000,194523,Europe
Air France,2001,194176,Europe
Air France,2002,188020,Europe
Air France,2003,183830,Europe
Air France,2004,194600,Europe
Air France,2005,225119,Europe
Air France,2006,235893,Europe
Air France,2007,231093,Europe
Air France,2008,242174,Europe
Air France,2009,245882,Europe
Air France,2010,259807,Europe
Air France,2011,297633,Europe
Air France,2012,321072,Europe
Air France,2013,320853,Europe
Air France,2014,316303,Europe
Air France,2015,345660,Europe
Air France,2016,356800,Europe
Air France,2017,352263,Europe
Air France,2018,343129,Europe
Air France,2019,359462,Europe
Air France,2020,49314,Europe
Air France,2021,86970,Europe
Air France,2022,315715,Europe
Air France,2023,258067,Europe
Air India Limited,2015,5832,Asia
Air India Limited,2016,73799,Asia
Air India Limited,2017,131047,Asia
Air India Limited,2018,171531,Asia
Air India Limited,2019,194040,Asia
Air India Limited,2020,105997,Asia
