reportdate,hospital,dphcategory,covidstatus,patientcount,data_as_of,data_loaded_at
2020/06/12,All SF Hospitals,ICU,COVID+,13,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/12,All SF Hospitals,Med/Surg,COVID+,25,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/13,All SF Hospitals,ICU,COVID+,11,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/13,All SF Hospitals,Med/Surg,COVID+,26,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/14,All SF Hospitals,ICU,COVID+,7,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/14,All SF Hospitals,Med/Surg,COVID+,30,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/15,All SF Hospitals,ICU,COVID+,7,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/15,All SF Hospitals,Med/Surg,COVID+,25,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/16,All SF Hospitals,ICU,COVID+,7,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/16,All SF Hospitals,Med/Surg,COVID+,27,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/17,All SF Hospitals,ICU,COVID+,7,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/17,All SF Hospitals,Med/Surg,COVID+,25,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/18,All SF Hospitals,ICU,COVID+,7,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/18,All SF Hospitals,Med/Surg,COVID+,22,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/19,All SF Hospitals,ICU,COVID+,6,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/19,All SF Hospitals,Med/Surg,COVID+,20,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/20,All SF Hospitals,ICU,COVID+,6,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/20,All SF Hospitals,Med/Surg,COVID+,23,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/21,All SF Hospitals,ICU,COVID+,7,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
2020/06/21,All SF Hospitals,Med/Surg,COVID+,23,10/04/2023 04:00:05 PM,10/04/2023 05:30:07 PM
