specimen_collection_date,tests,pos,pct,neg,indeterminate,cumulative_tests,cumulative_positive_tests,cumulative_negative_tests,cumulative_indeterminate_tests,data_as_of,data_loaded_at
2020/03/01,2,0,0.000,2,0,2,0,2,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/02,2,0,0.000,2,0,4,0,4,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/03,8,2,0.250,6,0,12,2,10,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/04,12,0,0.000,12,0,24,2,22,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/05,23,6,0.261,17,0,47,8,39,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/06,21,1,0.048,20,0,68,9,59,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/07,24,7,0.292,17,0,92,16,76,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/08,12,3,0.250,9,0,104,19,85,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/09,63,4,0.063,59,0,167,23,144,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/10,91,7,0.077,84,0,258,30,228,0,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/11,91,12,0.133,78,1,349,42,306,1,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/12,192,9,0.047,183,0,541,51,489,1,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/13,252,18,0.071,234,0,793,69,723,1,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/14,153,10,0.065,143,0,946,79,866,1,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/15,151,11,0.073,139,1,1097,90,1005,2,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/16,318,42,0.133,274,2,1415,132,1279,4,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/17,339,30,0.088,309,0,1754,162,1588,4,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
2020/03/18,325,26,0.080,298,1,2079,188,1886,5,10/10/2023 04:30:38 AM,10/10/2023 09:00:08 AM
